Name,Category,Ingredients,Cooking Time (min),Instructions
Recipe 1,Gluten-Free,"Potato, Onion, Chocolate, Cheese, Milk",40,Step 1: Prepare Potato. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 2,Drinks,"Milk, Eggs, Flour, Onion",48,Step 1: Prepare Milk. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 3,Gluten-Free,"Milk, Flour, Pasta",90,Step 1: Prepare Milk. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 4,Vegetarian,"Fish, Garlic, Sugar, Tomato",35,Step 1: Prepare Fish. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 5,Lunch,"Mushroom, Sugar, Garlic, Chicken, Chocolate, Butter, Carrot",70,Step 1: Prepare Mushroom. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 6,Vegetarian,"Butter, Garlic, Beef, Spinach, Chocolate",45,Step 1: Prepare Butter. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 7,Vegetarian,"Milk, Chocolate, Chicken, Spinach",65,Step 1: Prepare Milk. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 8,Breakfast,"Spinach, Tomato, Onion, Fish",38,Step 1: Prepare Spinach. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 9,Dinner,"Onion, Eggs, Beef",18,Step 1: Prepare Onion. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 10,Drinks,"Chocolate, Rice, Potato, Milk, Carrot",32,Step 1: Prepare Chocolate. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 11,Lunch,"Spinach, Tomato, Mushroom, Pork",63,Step 1: Prepare Spinach. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 12,Lunch,"Carrot, Butter, Onion",49,Step 1: Prepare Carrot. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 13,Drinks,"Milk, Pork, Garlic, Onion",75,Step 1: Prepare Milk. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 14,Lunch,"Flour, Eggs, Tomato, Pork, Pasta, Butter",22,Step 1: Prepare Flour. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 15,Dessert,"Potato, Beef, Flour, Spinach, Mushroom, Pork, Cheese",64,Step 1: Prepare Potato. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 16,Drinks,"Chocolate, Milk, Pasta",57,Step 1: Prepare Chocolate. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 17,Dinner,"Sugar, Flour, Fish, Tomato, Pasta, Mushroom, Chocolate",34,Step 1: Prepare Sugar. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 18,Breakfast,"Onion, Butter, Chocolate, Fish, Pork",49,Step 1: Prepare Onion. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 19,Dinner,"Eggs, Butter, Pasta, Chocolate",15,Step 1: Prepare Eggs. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 20,Snacks,"Spinach, Eggs, Flour, Pasta",83,Step 1: Prepare Spinach. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 21,Snacks,"Potato, Fish, Pasta",61,Step 1: Prepare Potato. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 22,Gluten-Free,"Beef, Chicken, Pork, Potato",17,Step 1: Prepare Beef. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 23,Dessert,"Flour, Chocolate, Cheese, Butter, Onion",57,Step 1: Prepare Flour. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 24,Lunch,"Pasta, Onion, Mushroom, Tomato",43,Step 1: Prepare Pasta. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 25,Dinner,"Mushroom, Cheese, Eggs, Butter",68,Step 1: Prepare Mushroom. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 26,Vegetarian,"Carrot, Potato, Garlic, Chicken, Butter",60,Step 1: Prepare Carrot. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 27,Drinks,"Tomato, Beef, Eggs",31,Step 1: Prepare Tomato. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 28,Lunch,"Flour, Mushroom, Eggs, Beef, Fish, Potato",55,Step 1: Prepare Flour. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 29,Dinner,"Onion, Chocolate, Spinach, Eggs, Fish",13,Step 1: Prepare Onion. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 30,Gluten-Free,"Cheese, Milk, Butter, Potato, Pasta, Fish",65,Step 1: Prepare Cheese. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 31,Dessert,"Carrot, Pork, Cheese, Pasta, Potato",81,Step 1: Prepare Carrot. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 32,Snacks,"Tomato, Carrot, Onion, Garlic, Milk, Pasta, Butter",28,Step 1: Prepare Tomato. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 33,Dinner,"Cheese, Sugar, Tomato, Onion, Flour, Carrot, Beef",18,Step 1: Prepare Cheese. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 34,Dinner,"Butter, Milk, Spinach, Onion, Eggs, Tomato",63,Step 1: Prepare Butter. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 35,Vegetarian,"Tomato, Garlic, Beef",40,Step 1: Prepare Tomato. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 36,Dinner,"Mushroom, Cheese, Milk, Rice",19,Step 1: Prepare Mushroom. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 37,Lunch,"Pasta, Butter, Chocolate",27,Step 1: Prepare Pasta. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 38,Vegan,"Tomato, Eggs, Spinach, Garlic, Chocolate",12,Step 1: Prepare Tomato. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 39,Snacks,"Fish, Pork, Carrot, Spinach, Mushroom",76,Step 1: Prepare Fish. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 40,Breakfast,"Eggs, Fish, Sugar, Chocolate, Mushroom, Carrot, Pork",36,Step 1: Prepare Eggs. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 41,Dessert,"Potato, Pork, Mushroom, Rice, Chicken, Flour, Sugar",76,Step 1: Prepare Potato. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 42,Dessert,"Chicken, Onion, Beef, Milk, Cheese",51,Step 1: Prepare Chicken. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 43,Vegetarian,"Pasta, Beef, Flour",77,Step 1: Prepare Pasta. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 44,Vegan,"Sugar, Flour, Mushroom, Pork, Chocolate, Chicken",59,Step 1: Prepare Sugar. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 45,Drinks,"Fish, Chicken, Flour",89,Step 1: Prepare Fish. Step 2: Add Chicken. Step 3: Cook and serve.
